pocket,compound_ids,source_databases,desalted_smiles,old_best_docking_score_kcal_mol,new_vina_score_kcal_mol,score_delta_new_minus_old,ligand_name,out_pdbqt,log_path,returncode
BP1,251157;ZINC000103969950,ZINC15;numeric library ID,Cc1c(O)c2ccc3ccccc3c2oc1=O,-7.396,-7.466,-0.07000000000000028,BP1_251157,work/docking/BP1/BP1_251157_vina_out.pdbqt,work/docking/BP1/BP1_251157_vina.log,0
BP1,CHEMBL1929523,ChEMBL23,O=c1ccc2c(ccc3oc4ccccc4c32)o1,-7.388,-7.571,-0.18299999999999983,BP1_CHEMBL1929523,work/docking/BP1/BP1_CHEMBL1929523_vina_out.pdbqt,work/docking/BP1/BP1_CHEMBL1929523_vina.log,0
BP1,CHEMBL3306562,ChEMBL23,N#Cc1c(O)c2cc3ccccc3cc2oc1=O,-7.338,-6.865,0.47299999999999986,BP1_CHEMBL3306562,work/docking/BP1/BP1_CHEMBL3306562_vina_out.pdbqt,work/docking/BP1/BP1_CHEMBL3306562_vina.log,0
BP1,DB03623,DrugBank,Oc1ccc(-c2cnc3ccc4ccncc4c3c2)cc1,-7.328,-7.655,-0.32699999999999996,BP1_DB03623,work/docking/BP1/BP1_DB03623_vina_out.pdbqt,work/docking/BP1/BP1_DB03623_vina.log,0
BP1,MolPort-002-367-171,MolPort,Cc1c(C)c2ccc(O)cc2oc1=O,-7.327,-7.247,0.08000000000000007,BP1_MolPort-002-367-171,work/docking/BP1/BP1_MolPort-002-367-171_vina_out.pdbqt,work/docking/BP1/BP1_MolPort-002-367-171_vina.log,0
BP1,CHEMBL329500,ChEMBL23,O=c1cc(-c2ccccc2)oc2c1ccc1ccc(O)cc12,-7.27,-7.664,-0.39400000000000013,BP1_CHEMBL329500,work/docking/BP1/BP1_CHEMBL329500_vina_out.pdbqt,work/docking/BP1/BP1_CHEMBL329500_vina.log,0
BP1,PEY,PDB ligand,c1ccc2c(c1)ccc1ccccc12,-7.242,-7.367,-0.125,BP1_PEY,work/docking/BP1/BP1_PEY_vina_out.pdbqt,work/docking/BP1/BP1_PEY_vina.log,0
BP1,HMDB34138,HMDB,O=c1oc2cc(O)ccc2c2oc3cc(O)cc(O)c3c12,-7.241,-7.51,-0.26900000000000013,BP1_HMDB34138,work/docking/BP1/BP1_HMDB34138_vina_out.pdbqt,work/docking/BP1/BP1_HMDB34138_vina.log,0
BP1,19824,numeric library ID,CC1(C)c2ccccc2-c2nc3ccccc3cc2C1O,-7.229,-7.873,-0.6440000000000001,BP1_19824,work/docking/BP1/BP1_19824_vina_out.pdbqt,work/docking/BP1/BP1_19824_vina.log,0
BP1,CHEMBL3409185,ChEMBL23,Oc1cc(-c2cc3ccccc3o2)c(Br)c(O)c1O,-7.206,-7.282,-0.07599999999999962,BP1_CHEMBL3409185,work/docking/BP1/BP1_CHEMBL3409185_vina_out.pdbqt,work/docking/BP1/BP1_CHEMBL3409185_vina.log,0
